marker;r2_null;r2_full;r2_delta;lrt_stat;lrt_df;lrt_pvalue;beta_marker;beta_marker_se;beta_marker_pvalue;r2_delta_ci_low;r2_delta_ci_high;n_bootstrap
ctx_lh_rostralanteriorcingulate;0.23935545664731914;0.28302404912402634;0.04366859247670721;3.1116525381997917;1;0.0777340532913119;-14.875565568513974;8.33403098516716;0.0742745474779685;0.000362439161387968;0.25675629535269223;500
ctx_lh_rostralmiddlefrontal;0.23935545664731914;0.2564237328852443;0.017068276237925145;1.660515336553658;1;0.19753375852092536;2.225890956368413;1.7308540734710154;0.19844051750465352;-0.015520356968785348;0.2447225388885471;500
ctx_lh_superiorfrontal;0.23935545664731914;0.34224996599433644;0.1028945093470173;5.423658791046819;1;0.01986568840626755;-3.726239163969413;1.5343152659667953;0.01515721431341815;-0.04328865594840119;0.34585395821486703;500
ctx_lh_superiorparietal;0.23935545664731914;0.2524756374298352;0.013120180782516061;0.515333686087331;1;0.4728390150841204;-1.4155204665374475;1.9588017077623405;0.4698973217753367;-0.016857888450848936;0.21165717138177606;500
ctx_lh_superiortemporal;0.23935545664731914;0.23987017771175917;0.0005147210644400324;0.1891117739637025;1;0.6636569106615794;1.2545379373249248;2.8884379394855024;0.6640481462414249;-0.013365734016034162;0.1755526605206784;500
ctx_lh_supramarginal;0.23935545664731914;0.33654847236651725;0.09719301571919811;6.460198997753253;1;0.011031728967031501;-5.545442944880707;2.1294953613800365;0.009211283710576904;-0.0003059035139187379;0.3330664491481787;500
ctx_lh_temporalpole;0.23935545664731914;0.27424321139346514;0.034887754746146;3.5023771525454777;1;0.06128080820523513;21.62483680626194;11.353545779037658;0.05682207864258106;-0.009862146817402162;0.22636144900749738;500
ctx_lh_transversetemporal;0.23935545664731914;0.24239580510332495;0.0030403484560058147;0.3190372116933986;1;0.572186820699011;-9.845490264917913;17.447905857306647;0.5725641384270945;-0.0071825267277870215;0.13080646178176636;500
ctx_rh_bankssts;0.23935545664731914;0.24883315569762804;0.009477699050308902;0.7080760181277697;1;0.4000832680910965;-6.668940126846801;7.919929207598782;0.3997625295372291;-0.012075444163839273;0.20348505893288732;500
ctx_rh_caudalanteriorcingulate;0.23935545664731914;0.48278313687789876;0.24342768023057962;22.832493670707265;1;1.7675195783227391e-06;-25.455994595824155;4.9017594354091125;2.0666969659815835e-07;0.18167629716721242;0.499400529181316;500
ctx_rh_caudalmiddlefrontal;0.23935545664731914;0.28848418191738895;0.04912872527006981;4.197491526865917;1;0.04048382238683834;-3.7587158587466156;1.7994123784407834;0.036720561749980056;-0.01372768273169233;0.1579663965166249;500
